system:index,datetime,surface_pressure_Pa,.geo
20150101T00,2015-01-01 00:00,89542.50390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T01,2015-01-01 01:00,89638.52734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T02,2015-01-01 02:00,89732.9375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T03,2015-01-01 03:00,89782.53125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T04,2015-01-01 04:00,89759.3984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T05,2015-01-01 05:00,89743.4921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T06,2015-01-01 06:00,89702.15234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T07,2015-01-01 07:00,89605.08203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T08,2015-01-01 08:00,89588.16796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T09,2015-01-01 09:00,89597.52734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T10,2015-01-01 10:00,89625.51953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T11,2015-01-01 11:00,89699.09375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T12,2015-01-01 12:00,89760.6875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T13,2015-01-01 13:00,89833.91796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T14,2015-01-01 14:00,89858.2109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T15,2015-01-01 15:00,89833.40625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T16,2015-01-01 16:00,89770.57421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T17,2015-01-01 17:00,89640.9609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T18,2015-01-01 18:00,89501.36328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T19,2015-01-01 19:00,89416.3828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T20,2015-01-01 20:00,89356.515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T21,2015-01-01 21:00,89331.8671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T22,2015-01-01 22:00,89346.52734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101T23,2015-01-01 23:00,89389.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T00,2015-01-02 00:00,89473.4609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T01,2015-01-02 01:00,89574.9375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T02,2015-01-02 02:00,89647.75390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T03,2015-01-02 03:00,89673.76953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T04,2015-01-02 04:00,89687.578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T05,2015-01-02 05:00,89656.54296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T06,2015-01-02 06:00,89605.046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T07,2015-01-02 07:00,89530.15234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T08,2015-01-02 08:00,89505.72265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T09,2015-01-02 09:00,89496.2421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T10,2015-01-02 10:00,89535.26171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T11,2015-01-02 11:00,89608.7734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102T12,2015-01-02 12:00,89695.3203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
