Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1230078,-,-,-,5.01,-74.46,-5,930,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),GHI,DNI,Wind Speed
2015,1,1,0,0,22.8,78.41,931,0.0000,0.0000,0,0,0.6000000000000001
2015,1,1,0,30,22.700000000000003,78.8,930,0.0000,0.0000,0,0,0.6000000000000001
2015,1,1,1,0,22.5,78.43,930,0.0000,0.0000,0,0,0.6000000000000001
2015,1,1,1,30,22.3,79.39,930,0.0000,0.0000,0,0,0.7000000000000001
2015,1,1,2,0,22.1,78.60000000000001,930,0.0000,0.0000,0,0,0.7000000000000001
2015,1,1,2,30,21.900000000000002,79.56,930,0.0000,0.0000,0,0,0.8
2015,1,1,3,0,21.8,77.49,930,0.0000,0.0000,0,0,0.8
2015,1,1,3,30,21.6,78.44,930,0.0000,0.0000,0,0,0.9
2015,1,1,4,0,21.400000000000002,76.31,930,0.0000,0.0000,0,0,1
2015,1,1,4,30,21.200000000000003,77.25,930,0.0000,0.0000,0,0,1
2015,1,1,5,0,21.1,75.05,931,0.0000,0.0000,0,0,1.1
2015,1,1,5,30,21.3,74.13,931,0.0000,0.0000,0,0,1.3
2015,1,1,6,0,21.5,72.09,932,0.0000,0.0000,0,0,1.6
2015,1,1,6,30,22.400000000000002,68.25,932,0.0000,0.0000,46,145,2.1
2015,1,1,7,0,23.3,60.5,932,7.1638,5.4706,150,427,2.6
2015,1,1,7,30,24.400000000000002,56.7,933,13.5502,10.4682,269,586,2.7
2015,1,1,8,0,25.5,48.980000000000004,933,21.1534,16.4633,397,734,2.8000000000000003
2015,1,1,8,30,26.8,45.37,933,28.7238,22.4506,517,804,2.5
2015,1,1,9,0,28.200000000000003,38.980000000000004,932,36.2942,28.4409,634,885,2.3000000000000003
2015,1,1,9,30,29.1,37,932,43.0487,33.7898,736,922,2
2015,1,1,10,0,30,34.34,932,48.7648,38.3184,821,944,1.8
2015,1,1,10,30,30.5,33.37,932,53.3765,41.9727,889,960,1.7000000000000002
2015,1,1,11,0,31.1,32.46,931,56.9054,44.7684,941,979,1.6
2015,1,1,11,30,31.400000000000002,31.92,931,58.8420,46.3040,969,983,1.6
2015,1,1,12,0,31.700000000000003,31.94,930,59.6559,46.9487,981,987,1.6
2015,1,1,12,30,31.900000000000002,31.580000000000002,930,58.8570,46.3166,969,983,1.6
2015,1,1,13,0,32,32.25,929,56.7531,44.6500,938,971,1.5
2015,1,1,13,30,31.900000000000002,32.44,929,53.3596,41.9616,888,958,1.5
2015,1,1,14,0,31.8,33.65,929,40.4373,31.7774,680,368,1.4000000000000001
2015,1,1,14,30,31.5,34.18,928,43.0616,33.8040,735,911,1.4000000000000001
2015,1,1,15,0,31.200000000000003,35.88,928,36.5500,28.6466,637,875,1.3
2015,1,1,15,30,30.8,36.74,929,19.0062,14.8596,341,75,1.3
2015,1,1,16,0,30.3,39.64,929,21.9426,17.0859,410,761,1.2000000000000002
2015,1,1,16,30,29.1,42.46,929,14.5386,11.2414,287,670,1
2015,1,1,17,0,27.900000000000002,51.92,929,7.9489,6.0765,166,520,0.7000000000000001
2015,1,1,17,30,26.8,55.42,930,0.0000,0.0000,59,280,0.8
2015,1,1,18,0,25.700000000000003,57.89,930,0.0000,0.0000,0,0,0.8
2015,1,1,18,30,25.1,60.04,931,0.0000,0.0000,0,0,0.9
2015,1,1,19,0,24.5,63.21,931,0.0000,0.0000,0,0,1
2015,1,1,19,30,24.1,64.74,931,0.0000,0.0000,0,0,1
2015,1,1,20,0,23.700000000000003,66.35,932,0.0000,0.0000,0,0,1.1
2015,1,1,20,30,23.400000000000002,67.56,932,0.0000,0.0000,0,0,1.1
2015,1,1,21,0,23.1,67.72,932,0.0000,0.0000,0,0,1.2000000000000002
2015,1,1,21,30,22.900000000000002,68.54,932,0.0000,0.0000,0,0,1.2000000000000002
