Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1230078,-,-,-,5.01,-74.46,-5,930,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),GHI,DNI,Wind Speed
2024,1,1,0,0,23.3,79.63,939,0.0000,0.0000,0,0,0.2
2024,1,1,0,30,23.200000000000003,80.11,939,0.0000,0.0000,0,0,0.2
2024,1,1,1,0,23,80.36,938,0.0000,0.0000,0,0,0.2
2024,1,1,1,30,22.900000000000002,80.84,938,0.0000,0.0000,0,0,0.30000000000000004
2024,1,1,2,0,22.8,80.31,938,0.0000,0.0000,0,0,0.30000000000000004
2024,1,1,2,30,22.700000000000003,80.8,938,0.0000,0.0000,0,0,0.30000000000000004
2024,1,1,3,0,22.6,79.88,938,0.0000,0.0000,0,0,0.4
2024,1,1,3,30,22.5,80.37,938,0.0000,0.0000,0,0,0.4
2024,1,1,4,0,22.400000000000002,79.53,938,0.0000,0.0000,0,0,0.5
2024,1,1,4,30,22.3,80.01,938,0.0000,0.0000,0,0,0.5
2024,1,1,5,0,22.200000000000003,79.19,938,0.0000,0.0000,0,0,0.5
2024,1,1,5,30,22.400000000000002,78.32000000000001,939,0.0000,0.0000,0,0,0.5
2024,1,1,6,0,22.6,78.14,939,0.0000,0.0000,0,0,0.5
2024,1,1,6,30,23.5,74.01,939,0.0000,0.0000,45,164,0.8
2024,1,1,7,0,24.400000000000002,71.71000000000001,940,4.4418,3.3921,93,86,1.1
2024,1,1,7,30,25.5,67.17,940,5.2901,4.0870,105,44,1.2000000000000002
2024,1,1,8,0,26.6,63.300000000000004,940,14.0156,10.9082,263,200,1.4000000000000001
2024,1,1,8,30,27.8,59.02,940,16.7241,13.0716,301,111,1.4000000000000001
2024,1,1,9,0,29,54.370000000000005,940,26.9080,21.0858,470,310,1.4000000000000001
2024,1,1,9,30,29.700000000000003,52.230000000000004,940,35.5046,27.8683,607,490,1.4000000000000001
2024,1,1,10,0,30.400000000000002,50.13,940,38.1931,30.0114,643,396,1.4000000000000001
2024,1,1,10,30,30.900000000000002,48.67,939,44.2503,34.7962,737,557,1.5
2024,1,1,11,0,31.3,47.980000000000004,939,50.0114,39.3448,827,751,1.5
2024,1,1,11,30,31.5,47.39,938,50.8864,40.0435,838,770,1.6
2024,1,1,12,0,31.700000000000003,46.96,938,49.3768,38.8590,812,598,1.6
2024,1,1,12,30,31.700000000000003,46.910000000000004,937,47.2530,37.1849,778,450,1.7000000000000002
2024,1,1,13,0,31.8,46.56,937,44.9519,35.3654,743,437,1.8
2024,1,1,13,30,31.6,47.04,936,39.8965,31.3741,664,317,1.9000000000000001
2024,1,1,14,0,31.400000000000002,47.47,936,35.4379,27.8485,596,332,2
2024,1,1,14,30,30.900000000000002,48.83,936,31.9837,25.1075,546,298,2
2024,1,1,15,0,30.400000000000002,50.25,936,27.8240,21.8073,485,409,2
2024,1,1,15,30,29.900000000000002,51.7,936,26.6350,20.8235,478,636,1.9000000000000001
2024,1,1,16,0,29.3,54.45,936,20.1171,15.6640,376,612,1.8
2024,1,1,16,30,28.400000000000002,57.410000000000004,937,12.8622,9.9447,254,472,1.4000000000000001
2024,1,1,17,0,27.5,63.95,937,5.1226,3.9157,107,128,1.1
2024,1,1,17,30,26.700000000000003,67.01,937,0.0000,0.0000,17,6,0.9
2024,1,1,18,0,26,69.43,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,1,18,30,25.700000000000003,70.67,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,1,19,0,25.400000000000002,71.29,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,1,19,30,25.200000000000003,72.14,939,0.0000,0.0000,0,0,0.5
2024,1,1,20,0,25,72.64,939,0.0000,0.0000,0,0,0.5
2024,1,1,20,30,24.8,73.5,939,0.0000,0.0000,0,0,0.4
2024,1,1,21,0,24.700000000000003,73.83,939,0.0000,0.0000,0,0,0.4
2024,1,1,21,30,24.5,74.71000000000001,939,0.0000,0.0000,0,0,0.4
2024,1,1,22,0,24.400000000000002,74.86,939,0.0000,0.0000,0,0,0.4
2024,1,1,22,30,24.3,75.31,939,0.0000,0.0000,0,0,0.30000000000000004
2024,1,1,23,0,24.1,75.69,939,0.0000,0.0000,0,0,0.30000000000000004
2024,1,1,23,30,24,76.15,939,0.0000,0.0000,0,0,0.30000000000000004
2024,1,2,0,0,23.900000000000002,75.13,938,0.0000,0.0000,0,0,0.4
2024,1,2,0,30,23.8,75.58,938,0.0000,0.0000,0,0,0.30000000000000004
2024,1,2,1,0,23.700000000000003,75.19,938,0.0000,0.0000,0,0,0.30000000000000004
2024,1,2,1,30,23.5,76.02,937,0.0000,0.0000,0,0,0.30000000000000004
2024,1,2,2,0,23.400000000000002,75.98,937,0.0000,0.0000,0,0,0.30000000000000004
2024,1,2,2,30,23.200000000000003,76.9,937,0.0000,0.0000,0,0,0.4
2024,1,2,3,0,23,77.72,937,0.0000,0.0000,0,0,0.4
2024,1,2,3,30,22.8,78.66,937,0.0000,0.0000,0,0,0.4
2024,1,2,4,0,22.700000000000003,77.12,937,0.0000,0.0000,0,0,0.4
2024,1,2,4,30,22.5,78.05,937,0.0000,0.0000,0,0,0.4
2024,1,2,5,0,22.400000000000002,76.46000000000001,937,0.0000,0.0000,0,0,0.4
2024,1,2,5,30,22.700000000000003,75.17,938,0.0000,0.0000,0,0,0.4
2024,1,2,6,0,23,74.58,938,0.0000,0.0000,0,0,0.5
2024,1,2,6,30,24.3,68.99,938,0.0000,0.0000,32,34,0.8
2024,1,2,7,0,25.700000000000003,64.6,939,6.0161,4.5937,126,265,1.2000000000000002
2024,1,2,7,30,26.8,60.56,939,10.3206,7.9725,205,248,1.2000000000000002
2024,1,2,8,0,28,54.43,939,17.4691,13.5951,328,392,1.2000000000000002
2024,1,2,8,30,28.8,51.97,939,24.7724,19.3616,446,499,1.1
2024,1,2,9,0,29.700000000000003,48.96,939,21.0060,16.4605,367,68,1.1
2024,1,2,9,30,30.3,47.31,939,34.6229,27.1760,592,486,1
2024,1,2,10,0,31,44.910000000000004,939,42.5855,33.4627,717,600,1
2024,1,2,10,30,31.5,43.61,938,50.0142,39.3287,833,870,1
2024,1,2,11,0,32,41.99,938,51.4040,40.4404,850,778,1
2024,1,2,11,30,32.300000000000004,41.29,938,52.4082,41.2413,863,749,1.1
2024,1,2,12,0,32.6,40.49,937,53.3966,42.0229,878,787,1.2000000000000002
2024,1,2,12,30,32.7,40.26,937,47.9893,37.7646,790,573,1.2000000000000002
2024,1,2,13,0,32.800000000000004,39.97,936,38.9093,30.6118,643,309,1.3
2024,1,2,13,30,32.7,40.2,936,30.7712,24.1985,512,174,1.4000000000000001
2024,1,2,14,0,32.7,40.28,936,30.5724,24.0255,514,204,1.4000000000000001
2024,1,2,14,30,32.4,40.92,935,27.6021,21.6685,471,209,1.5
2024,1,2,15,0,32.1,42.07,935,23.5909,18.4903,411,178,1.5
2024,1,2,15,30,31.6,43.28,935,17.6761,13.8202,317,113,1.4000000000000001
2024,1,2,16,0,31.1,46.33,936,10.0145,7.7985,187,32,1.3
2024,1,2,16,30,29.900000000000002,49.61,936,6.1340,4.7434,121,14,1.1
2024,1,2,17,0,28.700000000000003,59.11,936,4.8865,3.7361,102,34,0.8
2024,1,2,17,30,27.8,62.27,936,0.0000,0.0000,50,20,0.7000000000000001
2024,1,2,18,0,26.8,64.38,937,0.0000,0.0000,2,0,0.7000000000000001
2024,1,2,18,30,26.400000000000002,65.91,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,2,19,0,26,67.73,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,2,19,30,25.6,69.35000000000001,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,2,20,0,25.200000000000003,71.39,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,2,20,30,24.900000000000002,72.75,939,0.0000,0.0000,0,0,0.7000000000000001
2024,1,2,21,0,24.700000000000003,73.51,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,2,21,30,24.400000000000002,74.84,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,2,22,0,24.200000000000003,75.39,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,2,22,30,24,76.21000000000001,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,2,23,0,23.8,76.77,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,2,23,30,23.6,77.7,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,0,0,23.5,77.68,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,0,30,23.400000000000002,78.06,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,1,0,23.200000000000003,78.68,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,1,30,23.1,79.16,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,2,0,23,79.55,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,2,30,23,79.55,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,3,0,23,79.64,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,3,30,22.900000000000002,80.12,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,4,0,22.8,80.3,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,4,30,22.8,80.3,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,5,0,22.700000000000003,80.27,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,5,30,23,78.83,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,6,0,23.3,78.32000000000001,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,6,30,24.400000000000002,73.41,939,0.0000,0.0000,46,184,0.9
2024,1,3,7,0,25.5,69.41,939,5.6802,4.3366,119,346,1.2000000000000002
2024,1,3,7,30,26.700000000000003,64.68,939,9.5071,7.3431,189,344,1.3
2024,1,3,8,0,27.8,60.32,939,20.0682,15.6170,377,678,1.5
2024,1,3,8,30,28.700000000000003,57.25,939,26.6505,20.8288,480,694,1.4000000000000001
2024,1,3,9,0,29.700000000000003,53.43,939,34.1635,26.7704,597,791,1.4000000000000001
2024,1,3,9,30,30.400000000000002,51.34,939,40.4663,31.7623,692,824,1.4000000000000001
2024,1,3,10,0,31.1,48.86,939,45.8488,36.0268,772,844,1.3
2024,1,3,10,30,31.6,47.5,939,50.3135,39.5640,838,863,1.3
2024,1,3,11,0,32.2,45.43,938,52.0709,40.9652,861,787,1.2000000000000002
2024,1,3,11,30,32.5,44.67,938,55.6315,43.7780,916,882,1.2000000000000002
2024,1,3,12,0,32.800000000000004,43.34,937,53.4639,42.0762,879,732,1.3
2024,1,3,12,30,32.9,43.1,937,55.1058,43.3654,907,839,1.3
2024,1,3,13,0,33,42.52,937,51.8098,40.7618,856,770,1.4000000000000001
2024,1,3,13,30,32.800000000000004,42.95,936,42.9828,33.8023,715,428,1.5
2024,1,3,14,0,32.7,43.050000000000004,936,41.0543,32.2635,690,543,1.6
2024,1,3,14,30,32.300000000000004,44.03,936,35.5285,27.8919,606,528,1.6
2024,1,3,15,0,31.900000000000002,45.21,936,20.3304,15.9355,354,124,1.7000000000000002
2024,1,3,15,30,31.3,46.76,936,24.8877,19.4600,446,470,1.7000000000000002
2024,1,3,16,0,30.700000000000003,49.69,936,15.2234,11.8560,284,206,1.6
2024,1,3,16,30,29.6,52.910000000000004,936,12.4857,9.6569,246,415,1.3
2024,1,3,17,0,28.5,60.93,937,5.5608,4.2526,116,218,1
2024,1,3,17,30,27.6,64.19,937,0.0000,0.0000,44,7,0.8
2024,1,3,18,0,26.6,67.99,937,0.0000,0.0000,2,0,0.6000000000000001
2024,1,3,18,30,26.3,69.28,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,19,0,26,70.08,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,19,30,25.8,70.91,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,20,0,25.6,70.61,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,20,30,25.400000000000002,71.45,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,21,0,25.200000000000003,71.32000000000001,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,21,30,24.900000000000002,72.60000000000001,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,22,0,24.700000000000003,73.07000000000001,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,22,30,24.6,73.51,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,23,0,24.400000000000002,74.43,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,3,23,30,24.200000000000003,75.25,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,4,0,0,23.900000000000002,76.38,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,4,0,30,23.700000000000003,77.3,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,1,0,23.5,77.68,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,1,30,23.3,78.62,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,2,0,23.1,78.56,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,2,30,22.900000000000002,79.52,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,3,0,22.700000000000003,79.62,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,3,30,22.5,80.58,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,4,0,22.400000000000002,79.76,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,4,30,22.3,80.24,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,5,0,22.200000000000003,79.25,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,5,30,22.6,77.44,939,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,6,0,23,76.47,939,0.0000,0.0000,0,0,0.8
2024,1,4,6,30,24.400000000000002,70.31,939,0.0000,0.0000,45,152,1.3
2024,1,4,7,0,25.8,63.99,940,6.8242,5.2093,143,394,1.7000000000000002
2024,1,4,7,30,27,59.63,940,13.0701,10.0940,260,556,1.9000000000000001
2024,1,4,8,0,28.200000000000003,53.800000000000004,940,20.2705,15.7735,381,672,2
2024,1,4,8,30,29.200000000000003,50.78,940,27.6407,21.6020,498,746,1.9000000000000001
2024,1,4,9,0,30.1,46.78,940,34.7844,27.2564,608,804,1.7000000000000002
2024,1,4,9,30,30.900000000000002,44.65,939,41.2213,32.3547,705,843,1.5
2024,1,4,10,0,31.6,42.14,939,46.8573,36.8192,789,872,1.3
2024,1,4,10,30,32.2,40.74,939,51.3952,40.4146,856,892,1.2000000000000002
2024,1,4,11,0,32.800000000000004,39.04,939,54.7354,43.0616,905,906,1
2024,1,4,11,30,33.1,38.35,938,56.7295,44.6423,934,912,1.1
2024,1,4,12,0,33.4,37.65,938,57.4860,45.2419,945,915,1.2000000000000002
2024,1,4,12,30,33.4,37.65,938,56.8165,44.7120,935,909,1.3
2024,1,4,13,0,33.5,37.660000000000004,938,54.8482,43.1529,906,896,1.5
2024,1,4,13,30,33.300000000000004,38.04,937,51.5940,40.5750,858,881,1.6
2024,1,4,14,0,33.1,38.7,937,47.2588,37.1403,794,858,1.7000000000000002
2024,1,4,14,30,32.800000000000004,39.36,937,41.8192,32.8314,713,830,1.8
2024,1,4,15,0,32.4,40.82,937,35.5116,27.8361,618,791,1.8
2024,1,4,15,30,31.8,42.22,937,28.5902,22.3564,512,738,1.7000000000000002
2024,1,4,16,0,31.200000000000003,45.19,937,21.2468,16.5486,396,661,1.7000000000000002
2024,1,4,16,30,30.1,48.11,937,14.0759,10.8887,277,564,1.3
2024,1,4,17,0,29,57.03,937,5.7085,4.3664,119,200,1
2024,1,4,17,30,27.900000000000002,60.84,938,0.0000,0.0000,59,203,0.9
2024,1,4,18,0,26.900000000000002,65.14,938,0.0000,0.0000,4,12,0.7000000000000001
2024,1,4,18,30,26.400000000000002,67.07000000000001,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,19,0,25.900000000000002,68.27,938,0.0000,0.0000,0,0,0.8
2024,1,4,19,30,25.700000000000003,69.15,939,0.0000,0.0000,0,0,0.8
2024,1,4,20,0,25.400000000000002,70.12,939,0.0000,0.0000,0,0,0.8
2024,1,4,20,30,25.3,70.54,939,0.0000,0.0000,0,0,0.8
2024,1,4,21,0,25.1,71.21000000000001,939,0.0000,0.0000,0,0,0.8
2024,1,4,21,30,24.8,72.49,939,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,22,0,24.6,73,939,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,22,30,24.3,74.31,939,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,23,0,24.1,74.55,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,4,23,30,24,75,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,0,0,23.8,75.71000000000001,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,0,30,23.700000000000003,76.17,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,1,0,23.6,76.44,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,1,30,23.5,76.91,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,2,0,23.3,77.47,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,2,30,23.200000000000003,77.93,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,3,0,23.200000000000003,77.49,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,3,30,23.1,77.96000000000001,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,4,0,23,77.81,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,4,30,22.700000000000003,79.23,938,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,5,0,22.5,78.84,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,5,30,22.8,77.43,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,6,0,23.200000000000003,76.71000000000001,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,6,30,24.400000000000002,71.47,939,0.0000,0.0000,37,95,1
2024,1,5,7,0,25.6,66.77,939,6.6318,5.0618,139,359,1.3
2024,1,5,7,30,26.6,62.95,939,12.7087,9.8138,253,516,1.4000000000000001
2024,1,5,8,0,27.6,59.08,940,19.7813,15.3919,372,623,1.5
2024,1,5,8,30,28.400000000000002,56.4,940,27.0212,21.1172,487,698,1.5
2024,1,5,9,0,29.200000000000003,52.800000000000004,940,32.6622,25.5932,571,658,1.4000000000000001
2024,1,5,9,30,29.900000000000002,50.67,939,39.2881,30.8371,672,716,1.3
2024,1,5,10,0,30.6,47.67,939,42.6980,33.5508,719,669,1.2000000000000002
2024,1,5,10,30,31.200000000000003,46.08,939,43.7108,34.3720,728,508,1.2000000000000002
2024,1,5,11,0,31.700000000000003,43.97,939,45.4847,35.7840,752,512,1.2000000000000002
2024,1,5,11,30,32.1,42.94,938,45.7410,35.9954,753,465,1.2000000000000002
2024,1,5,12,0,32.5,41.26,938,55.7901,43.9077,917,884,1.2000000000000002
2024,1,5,12,30,32.7,40.76,937,56.5836,44.5293,931,900,1.2000000000000002
2024,1,5,13,0,32.9,39.65,937,51.4087,40.4474,849,736,1.2000000000000002
2024,1,5,13,30,32.9,39.65,937,49.2626,38.7422,819,781,1.3
2024,1,5,14,0,32.800000000000004,39.27,936,44.6555,35.0952,750,679,1.4000000000000001
2024,1,5,14,30,32.5,39.93,936,39.6081,31.0965,675,656,1.6
2024,1,5,15,0,32.1,40.39,936,35.4736,27.8074,617,772,1.7000000000000002
2024,1,5,15,30,31.5,41.78,936,28.4994,22.2869,510,717,1.6
2024,1,5,16,0,30.900000000000002,44.35,936,17.8294,13.8883,332,327,1.6
2024,1,5,16,30,29.8,47.27,937,13.0739,10.1152,257,354,1.3
2024,1,5,17,0,28.6,56.28,937,7.0566,5.3988,147,163,1
2024,1,5,17,30,27.5,59.99,937,0.0000,0.0000,46,104,0.9
2024,1,5,18,0,26.400000000000002,64,938,0.0000,0.0000,2,0,0.7000000000000001
2024,1,5,18,30,26,65.53,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,19,0,25.700000000000003,66.26,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,19,30,25.5,67.12,939,0.0000,0.0000,0,0,0.7000000000000001
2024,1,5,20,0,25.200000000000003,68.38,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,20,30,25,69.2,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,21,0,24.8,69.75,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,21,30,24.6,70.58,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,22,0,24.3,71.08,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,22,30,24.200000000000003,71.5,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,23,0,24,71.57000000000001,939,0.0000,0.0000,0,0,0.6000000000000001
2024,1,5,23,30,23.8,72.43,939,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,0,0,23.700000000000003,71.85000000000001,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,0,30,23.6,72.29,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,1,0,23.5,71.54,938,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,1,30,23.400000000000002,71.9,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,2,0,23.200000000000003,71.23,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,2,30,23.1,71.66,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,3,0,22.900000000000002,71.03,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,3,30,22.8,71.46000000000001,937,0.0000,0.0000,0,0,0.8
2024,1,6,4,0,22.700000000000003,69.03,937,0.0000,0.0000,0,0,0.8
2024,1,6,4,30,22.6,69.45,937,0.0000,0.0000,0,0,0.9
2024,1,6,5,0,22.400000000000002,67.92,938,0.0000,0.0000,0,0,0.9
2024,1,6,5,30,22.6,67.11,938,0.0000,0.0000,0,0,1
2024,1,6,6,0,22.8,68.11,938,0.0000,0.0000,0,0,1.1
2024,1,6,6,30,24.200000000000003,62.620000000000005,938,0.0000,0.0000,44,167,1.5
2024,1,6,7,0,25.6,55.730000000000004,939,6.8690,5.2422,144,429,2
2024,1,6,7,30,26.900000000000002,51.63,939,13.2025,10.1940,263,597,2
2024,1,6,8,0,28.200000000000003,43.39,939,20.5696,16.0044,387,717,2.1
2024,1,6,8,30,29.400000000000002,40.49,939,27.9567,21.8477,504,760,1.8
2024,1,6,9,0,30.5,35.82,939,35.1732,27.5604,615,825,1.6
2024,1,6,9,30,31.3,34.230000000000004,939,42.0320,32.9905,719,892,1.4000000000000001
2024,1,6,10,0,32.2,31.37,938,47.8634,37.6096,806,929,1.2000000000000002
2024,1,6,10,30,32.800000000000004,30.330000000000002,938,52.4790,41.2670,874,946,1
2024,1,6,11,0,33.5,28.97,938,55.9522,44.0192,925,960,0.8
2024,1,6,11,30,33.9,28.3,937,58.0180,45.6569,955,965,0.6000000000000001
2024,1,6,12,0,34.2,28.25,937,55.7990,43.9151,917,835,0.5
2024,1,6,12,30,34.4,27.91,936,54.2845,42.7205,893,783,0.4
2024,1,6,13,0,34.5,28.45,936,54.7518,43.0783,904,890,0.30000000000000004
2024,1,6,13,30,34.4,28.57,935,51.6829,40.6465,859,880,0.30000000000000004
2024,1,6,14,0,34.300000000000004,29.46,935,37.8809,29.7717,636,346,0.30000000000000004
2024,1,6,14,30,33.9,30.12,935,32.2876,25.3500,550,310,0.4
2024,1,6,15,0,33.6,31.42,935,34.1711,26.7877,594,691,0.4
2024,1,6,15,30,33,32.49,935,29.7505,23.2668,532,823,0.4
2024,1,6,16,0,32.4,35.54,935,22.3626,17.4213,416,762,0.5
2024,1,6,16,30,31,38.46,935,15.0247,11.6265,295,675,0.4
2024,1,6,17,0,29.6,49.33,935,7.0618,5.4040,147,380,0.30000000000000004
2024,1,6,17,30,28.5,52.61,936,0.0000,0.0000,26,7,0.4
2024,1,6,18,0,27.400000000000002,53.86,936,0.0000,0.0000,1,0,0.4
2024,1,6,18,30,26.8,55.78,936,0.0000,0.0000,0,0,0.5
2024,1,6,19,0,26.3,57.480000000000004,937,0.0000,0.0000,0,0,0.6000000000000001
2024,1,6,19,30,25.8,59.2,937,0.0000,0.0000,0,0,0.7000000000000001
2024,1,6,20,0,25.3,60.300000000000004,937,0.0000,0.0000,0,0,0.8
