system:index,fecha,precip_mm,.geo
20151231,2015-12-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101,2016-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102,2016-01-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160103,2016-01-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160104,2016-01-04,33.36311340332031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160105,2016-01-05,11.121039390563965,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160106,2016-01-06,28.422950744628906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160107,2016-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160108,2016-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160109,2016-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160110,2016-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160111,2016-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160112,2016-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160113,2016-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160114,2016-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160115,2016-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160116,2016-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160117,2016-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160118,2016-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160119,2016-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160120,2016-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160121,2016-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160122,2016-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160123,2016-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160124,2016-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160125,2016-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160126,2016-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160127,2016-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160128,2016-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160129,2016-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160130,2016-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160131,2016-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
