system:index,datetime,surface_pressure_Pa,.geo
20151231T00,2015-12-31 00:00,82814.91796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T01,2015-12-31 01:00,82891.546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T02,2015-12-31 02:00,82967.26953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T03,2015-12-31 03:00,83016.82421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T04,2015-12-31 04:00,82991.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T05,2015-12-31 05:00,82941.3671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T06,2015-12-31 06:00,82884.5078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T07,2015-12-31 07:00,82774.80859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T08,2015-12-31 08:00,82734.3671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T09,2015-12-31 09:00,82752.95703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T10,2015-12-31 10:00,82779.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T11,2015-12-31 11:00,82800.421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T12,2015-12-31 12:00,82839.48828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T13,2015-12-31 13:00,82908.3203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T14,2015-12-31 14:00,82972.3125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T15,2015-12-31 15:00,82994.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T16,2015-12-31 16:00,82952.0234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T17,2015-12-31 17:00,82873.59375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T18,2015-12-31 18:00,82776.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T19,2015-12-31 19:00,82691.03125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T20,2015-12-31 20:00,82645.44921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T21,2015-12-31 21:00,82599.0234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T22,2015-12-31 22:00,82640.22265625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T23,2015-12-31 23:00,82695.69921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T00,2016-01-01 00:00,82772.1328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T01,2016-01-01 01:00,82851.76953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T02,2016-01-01 02:00,82925.9375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T03,2016-01-01 03:00,82942.7109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T04,2016-01-01 04:00,82917.4609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T05,2016-01-01 05:00,82871.80078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T06,2016-01-01 06:00,82837.86328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T07,2016-01-01 07:00,82723.578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T08,2016-01-01 08:00,82690.33984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T09,2016-01-01 09:00,82714.69921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T10,2016-01-01 10:00,82747.61328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T11,2016-01-01 11:00,82773.171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
