system:index,RH_2m,datetime,.geo
20151231T00,73.6541200065107,2015-12-31 00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T01,78.58727705157914,2015-12-31 01:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T02,81.7417337442613,2015-12-31 02:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T03,83.13806239146311,2015-12-31 03:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T04,84.03636212524007,2015-12-31 04:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T05,83.94706976190595,2015-12-31 05:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T06,84.07794990003381,2015-12-31 06:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T07,88.48967614305799,2015-12-31 07:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T08,89.7545535525952,2015-12-31 08:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T09,91.5144413996226,2015-12-31 09:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T10,90.95273095827997,2015-12-31 10:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T11,90.84839043128244,2015-12-31 11:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T12,90.95092105126109,2015-12-31 12:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T13,91.91754472740668,2015-12-31 13:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T14,82.86491573654034,2015-12-31 14:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T15,77.00487277916271,2015-12-31 15:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T16,74.11225314486842,2015-12-31 16:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T17,67.89338521190196,2015-12-31 17:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T18,63.195409747242095,2015-12-31 18:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T19,59.93072138845682,2015-12-31 19:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T20,60.686694465094725,2015-12-31 20:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T21,78.19274392950258,2015-12-31 21:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T22,83.63367105981207,2015-12-31 22:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151231T23,84.41257826492466,2015-12-31 23:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T00,87.12565338489767,2016-01-01 00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T01,88.78321647696953,2016-01-01 01:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T02,91.3896516625946,2016-01-01 02:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T03,93.76115762725186,2016-01-01 03:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T04,94.96597122964236,2016-01-01 04:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T05,98.5684184508673,2016-01-01 05:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T06,97.743917155817,2016-01-01 06:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T07,97.1442926676896,2016-01-01 07:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T08,97.1897261615564,2016-01-01 08:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T09,97.3925492590043,2016-01-01 09:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T10,96.19572234774645,2016-01-01 10:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T11,97.07705594518245,2016-01-01 11:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T12,99.0374306627813,2016-01-01 12:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T13,95.0311155430009,2016-01-01 13:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T14,87.58285078669887,2016-01-01 14:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T15,72.9132786484737,2016-01-01 15:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T16,69.56280172526861,2016-01-01 16:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T17,67.18519124344554,2016-01-01 17:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T18,67.48552295682067,2016-01-01 18:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T19,70.6150137210093,2016-01-01 19:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T20,83.63290394504284,2016-01-01 20:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T21,85.060896888371,2016-01-01 21:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T22,89.02429729195549,2016-01-01 22:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101T23,90.49675618156724,2016-01-01 23:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T00,95.31671657282249,2016-01-02 00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T01,92.61794537713244,2016-01-02 01:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T02,98.76111850076859,2016-01-02 02:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T03,96.42018957157845,2016-01-02 03:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T04,97.06667762380398,2016-01-02 04:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T05,99.27228210757801,2016-01-02 05:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T06,96.5388012238552,2016-01-02 06:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T07,90.51216686648982,2016-01-02 07:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T08,91.90154475833566,2016-01-02 08:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T09,91.3655781526016,2016-01-02 09:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T10,89.15402183620044,2016-01-02 10:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102T11,90.68258817111395,2016-01-02 11:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
