"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0023035030","0068","2020 Jan 21 11:00:00 AM","30,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 04:00:00 PM","26,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 02:00:00 PM","33,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 11:00:00 PM","24,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 10:00:00 PM","24,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 08:00:00 PM","24,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 05:00:00 PM","24,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 08:00:00 AM","27,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 09:00:00 PM","24,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 07:00:00 PM","24,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 12:00:00 PM","30,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 05:00:00 AM","24,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 03:00:00 PM","33,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 07:00:00 AM","24,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 03:00:00 AM","25","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 06:00:00 AM","24,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 12:00:00 AM","26,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 04:00:00 AM","24,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 01:00:00 AM","25,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 06:00:00 PM","24,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 10:00:00 AM","29,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 01:00:00 PM","33","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 02:00:00 AM","25","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 21 09:00:00 AM","28,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 22 03:00:00 PM","30,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 22 10:00:00 AM","26,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2020 Jan 22 05:00:00 PM","29,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2017 Sep 08 06:00:00 AM","24,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Aug 16 12:00:00 AM","23,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2011 Oct 17 10:00:00 AM","28,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2007 Jan 11 12:00:00 PM","31,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2019 Jan 21 03:00:00 AM","24,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2006 Mar 07 08:00:00 PM","26,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Nov 02 09:00:00 AM","26,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2007 May 16 09:00:00 AM","30","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2017 Oct 29 07:00:00 PM","25","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Nov 21 02:00:00 AM","23,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2008 Aug 06 05:00:00 AM","23,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Feb 06 05:00:00 AM","24,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2012 Dec 26 10:00:00 PM","25,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2008 Jan 12 04:00:00 AM","23,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2014 Jan 12 11:00:00 AM","28,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2007 Feb 27 02:00:00 PM","39,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Jan 23 07:00:00 PM","27,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2006 Nov 28 03:00:00 AM","22,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2009 Jan 07 12:00:00 PM","29,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2011 Aug 27 01:00:00 AM","25,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2017 Dec 05 03:00:00 PM","33,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2005 Dec 20 07:00:00 PM","25,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2011 May 13 10:00:00 AM","26","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2008 May 03 03:00:00 PM","31,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2008 Aug 17 05:00:00 PM","25,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2012 Sep 15 10:00:00 AM","33,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2008 Dec 02 04:00:00 AM","24,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
