system:index,fecha,precipitacion_mm,.geo
20130101,2013-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102,2013-01-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130103,2013-01-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130104,2013-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130105,2013-01-05,11.674400329589844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130106,2013-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130107,2013-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130108,2013-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130109,2013-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130110,2013-01-10,5.960344314575195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130111,2013-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130112,2013-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130113,2013-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130114,2013-01-14,7.040803909301758,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130115,2013-01-15,6.735288619995117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130116,2013-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130117,2013-01-17,5.609082221984863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130118,2013-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130119,2013-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130120,2013-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130121,2013-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130122,2013-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130123,2013-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130124,2013-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130125,2013-01-25,7.409856796264648,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130126,2013-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130127,2013-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130128,2013-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130129,2013-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130130,2013-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130131,2013-01-31,14.636449813842773,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130201,2013-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130202,2013-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130203,2013-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130204,2013-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130205,2013-02-05,40.21979904174805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130206,2013-02-06,15.5253324508667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130207,2013-02-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130208,2013-02-08,15.5253324508667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130209,2013-02-09,31.0506649017334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130210,2013-02-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130211,2013-02-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130212,2013-02-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130213,2013-02-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130214,2013-02-14,20.486940383911133,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130215,2013-02-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130216,2013-02-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130217,2013-02-17,22.78708267211914,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130218,2013-02-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130219,2013-02-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130220,2013-02-20,22.78708267211914,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130221,2013-02-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130222,2013-02-22,7.945300579071045,"{""type"":""MultiPoint"",""coordinates"":[]}"
