system:index,RH,date,.geo
0,77.38653588598784,2013-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,74.22137844125302,2013-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,74.72259090089109,2013-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,76.2279958850571,2013-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,75.43846449583775,2013-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,74.69250033289127,2013-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,69.42338392231436,2013-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,72.90932789284957,2013-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,70.71722867806422,2013-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,71.74891577790603,2013-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,71.57831233691597,2013-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,74.58202926325828,2013-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,80.61699823999741,2013-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,85.16660212146209,2013-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,74.72308921274423,2013-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,73.89488306974015,2013-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,79.07953910379143,2013-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,86.77445682535738,2013-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,77.44147420955689,2013-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,73.71089051055843,2013-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,72.33076791508047,2013-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,80.62597855838676,2013-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,82.23172013196255,2013-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,80.26942898545188,2013-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,86.31716401048537,2013-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,85.52052044684645,2013-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,79.63200906789625,2013-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,75.32443384196152,2013-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,71.48756717821652,2013-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,71.61135728867174,2013-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,76.95559015554063,2013-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,84.13294690724736,2013-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,86.48583644720357,2013-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,84.29664782433316,2013-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,91.13440714225682,2013-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,93.24150163498207,2013-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,89.69133467146379,2013-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,86.20256063246073,2013-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,90.2409512534341,2013-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,91.44801612544063,2013-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,93.62802261677528,2013-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,89.24199208066062,2013-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,88.01478717135149,2013-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,85.17260408881158,2013-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,83.04030927697853,2013-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,79.24058737726283,2013-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,76.91739311999883,2013-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,84.82219465145941,2013-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,87.9017918836138,2013-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,84.90017495536038,2013-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,87.67981097438654,2013-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,77.48377226451002,2013-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,84.57014874730841,2013-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,82.72307878064875,2013-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,81.91399237024986,2013-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,81.98149678972577,2013-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,81.15492553507634,2013-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,83.10517783948207,2013-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,89.18570965926874,2013-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,91.70596134809433,2013-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,85.39815785933767,2013-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,83.67142943980822,2013-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,86.90891096199768,2013-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,85.24224810018131,2013-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,88.04078744969378,2013-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,91.95521316279307,2013-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,84.81067773293819,2013-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,82.68076360795007,2013-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,84.69732693305288,2013-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
