system:index,first,time,.geo
20130101T00_0,87434.5390625,2013-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T01_0,87542.8125,2013-01-01 01:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T02_0,87617.5703125,2013-01-01 02:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T03_0,87659.6171875,2013-01-01 03:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T04_0,87652.046875,2013-01-01 04:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T05_0,87632.0546875,2013-01-01 05:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T06_0,87608.328125,2013-01-01 06:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T07_0,87531.296875,2013-01-01 07:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T08_0,87494.98828125,2013-01-01 08:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T09_0,87489.828125,2013-01-01 09:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T10_0,87520.77734375,2013-01-01 10:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T11_0,87577.7421875,2013-01-01 11:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T12_0,87628.66796875,2013-01-01 12:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T13_0,87717.46484375,2013-01-01 13:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T14_0,87722.109375,2013-01-01 14:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T15_0,87710.046875,2013-01-01 15:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T16_0,87649.58203125,2013-01-01 16:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T17_0,87533.5625,2013-01-01 17:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T18_0,87397.421875,2013-01-01 18:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T19_0,87347.72265625,2013-01-01 19:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T20_0,87287.7734375,2013-01-01 20:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T21_0,87243.71484375,2013-01-01 21:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T22_0,87278.2421875,2013-01-01 22:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130101T23_0,87287.9921875,2013-01-01 23:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T00_0,87401.9609375,2013-01-02 00:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T01_0,87469.11328125,2013-01-02 01:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T02_0,87574.47265625,2013-01-02 02:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T03_0,87615.328125,2013-01-02 03:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T04_0,87613.24609375,2013-01-02 04:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T05_0,87579.23828125,2013-01-02 05:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T06_0,87509.6796875,2013-01-02 06:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T07_0,87454.05078125,2013-01-02 07:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T08_0,87424.89453125,2013-01-02 08:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T09_0,87416.30859375,2013-01-02 09:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T10_0,87432.20703125,2013-01-02 10:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T11_0,87494.74609375,2013-01-02 11:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T12_0,87554.328125,2013-01-02 12:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T13_0,87608.85546875,2013-01-02 13:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T14_0,87631.96484375,2013-01-02 14:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T15_0,87606.69140625,2013-01-02 15:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T16_0,87561.9453125,2013-01-02 16:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T17_0,87442.96484375,2013-01-02 17:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T18_0,87323.0546875,2013-01-02 18:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T19_0,87290.3046875,2013-01-02 19:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T20_0,87204.91015625,2013-01-02 20:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T21_0,87213.3671875,2013-01-02 21:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T22_0,87256.4453125,2013-01-02 22:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130102T23_0,87316.39453125,2013-01-02 23:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T00_0,87403.125,2013-01-03 00:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T01_0,87491.19140625,2013-01-03 01:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T02_0,87572.55859375,2013-01-03 02:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T03_0,87616.8828125,2013-01-03 03:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T04_0,87634.71484375,2013-01-03 04:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T05_0,87626.4453125,2013-01-03 05:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T06_0,87568.87890625,2013-01-03 06:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T07_0,87545.91796875,2013-01-03 07:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T08_0,87493.55078125,2013-01-03 08:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T09_0,87519.953125,2013-01-03 09:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T10_0,87538.41015625,2013-01-03 10:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T11_0,87592.171875,2013-01-03 11:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T12_0,87628.9296875,2013-01-03 12:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T13_0,87686.41796875,2013-01-03 13:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T14_0,87713.6953125,2013-01-03 14:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T15_0,87709.01953125,2013-01-03 15:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T16_0,87670.94921875,2013-01-03 16:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T17_0,87570.7265625,2013-01-03 17:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T18_0,87443.01171875,2013-01-03 18:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T19_0,87422.640625,2013-01-03 19:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T20_0,87366.984375,2013-01-03 20:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T21_0,87320.3046875,2013-01-03 21:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T22_0,87367.97265625,2013-01-03 22:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130103T23_0,87447.26953125,2013-01-03 23:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T00_0,87546.34375,2013-01-04 00:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T01_0,87634.3359375,2013-01-04 01:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T02_0,87726.54296875,2013-01-04 02:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T03_0,87743.9921875,2013-01-04 03:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T04_0,87729.5546875,2013-01-04 04:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T05_0,87720.1015625,2013-01-04 05:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T06_0,87678.53125,2013-01-04 06:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
20130104T07_0,87611.34765625,2013-01-04 07:00:00,"{""type"":""Point"",""coordinates"":[-74.48,5.009999999999999]}"
