system:index,RH_2m,datetime,.geo
20130101T00,73.70147429336429,2013-01-01 00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T01,81.33134121288774,2013-01-01 01:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T02,85.74955103038727,2013-01-01 02:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T03,88.82670513403835,2013-01-01 03:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T04,90.62971080829624,2013-01-01 04:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T05,92.02865913930319,2013-01-01 05:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T06,92.3031819691987,2013-01-01 06:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T07,86.07029025585845,2013-01-01 07:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T08,88.10957284465691,2013-01-01 08:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T09,89.29506941886899,2013-01-01 09:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T10,90.3779955097972,2013-01-01 10:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T11,91.23938065416502,2013-01-01 11:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T12,92.3322140368829,2013-01-01 12:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T13,76.08987630950439,2013-01-01 13:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T14,65.33855403181413,2013-01-01 14:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T15,64.24666416072964,2013-01-01 15:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T16,61.605512723448555,2013-01-01 16:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T17,60.50786570161457,2013-01-01 17:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T18,61.32378202866926,2013-01-01 18:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T19,61.75526530190702,2013-01-01 19:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T20,62.68437400669797,2013-01-01 20:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T21,62.68822582070869,2013-01-01 21:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T22,64.04269135653716,2013-01-01 22:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130101T23,74.99890351437138,2013-01-01 23:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T00,71.76232583316366,2013-01-02 00:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T01,76.21595884933093,2013-01-02 01:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T02,76.93997964549084,2013-01-02 02:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T03,78.7051154098671,2013-01-02 03:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T04,82.9420716844064,2013-01-02 04:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T05,85.22775948906033,2013-01-02 05:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T06,86.52309458525622,2013-01-02 06:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T07,77.50171997588275,2013-01-02 07:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T08,79.6165321199176,2013-01-02 08:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T09,81.45738987601804,2013-01-02 09:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T10,83.66368920045376,2013-01-02 10:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T11,86.08261894750194,2013-01-02 11:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T12,88.71465093249304,2013-01-02 12:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T13,73.96633210889765,2013-01-02 13:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T14,65.6200171963043,2013-01-02 14:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T15,62.24899647540888,2013-01-02 15:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T16,61.60584808416951,2013-01-02 16:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T17,61.617977632920265,2013-01-02 17:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T18,62.230241308365976,2013-01-02 18:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T19,64.77027787732254,2013-01-02 19:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T20,64.64921533468501,2013-01-02 20:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T21,64.40952790930142,2013-01-02 21:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
20130102T22,66.02535214626766,2013-01-02 22:00,"{""type"":""MultiPoint"",""coordinates"":[]}"
