"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2018-05-02 06:58:27","5.193","-75.71","0","1.9","MLr_2","8","1.5","210","5.374","5.374","8.00","Anserma - Caldas, Colombia","","","","manual"
"2019-03-02 02:33:02","5.254","-75.775","3.79","1.0","MLr_2","10","0.5","111","0.990","0.990","2.70","Anserma - Caldas, Colombia","","","","manual"
"2020-06-08 01:08:34","5.154","-75.74","66.75","1.4","MLr_2","8","0.1","132","0.566","0.566","1.00","Anserma - Caldas, Colombia","","","","manual"
"2022-04-27 16:39:37","5.216","-75.728","8.95","1.2","MLr_2","8","0.7","96","2.411","2.246","7.50","Anserma - Caldas, Colombia","","","","manual"
"2022-11-01 21:24:58","5.171","-75.691","15.74","1.2","MLr_2","8","0.6","124","2.458","2.556","6.59","Anserma - Caldas, Colombia","","","","manual"
"2022-12-11 08:18:28","5.136","-75.824","92.59","1.6","MLr_2","8","0.3","271","9.192","9.192","7.00","Anserma - Caldas, Colombia","","","","manual"
"2023-01-15 09:05:56","5.236","-75.7","50.41","1.2","MLr_2","12","1.0","150","3.960","3.960","10.70","Anserma - Caldas, Colombia","","","","manual"
"2024-07-26 03:43:39","5.133","-75.822","46.91","1.5","MLr_2","17","0.6","121","2.302","2.393","3.01","Anserma - Caldas, Colombia","","","","manual"
"2024-10-29 06:11:22","5.156","-75.819","15.8","1.4","MLr_2","20","0.7","104","1.291","1.692","2.80","Anserma - Caldas, Colombia","","","","manual"
"2025-01-16 14:06:48","5.258","-75.792","19.49","1.0","MLr_2","5","0.4","143","4.253","4.137","4.19","Anserma - Caldas, Colombia","","","","manual"
"2025-03-19 08:05:57","5.181","-75.812","27.36","1.0","MLr_2","10","0.5","217","4.667","4.667","7.50","Anserma - Caldas, Colombia","","","","manual"
"2025-03-25 03:57:22","5.27","-75.774","16.62","0.6","MLr_2","4","0.3","130","3.443","4.722","3.97","Anserma - Caldas, Colombia","","","","manual"
"2025-03-27 07:33:19","5.253","-75.783","2.9","0.5","MLr_2","8","0.1","192","1.202","1.202","0.80","Anserma - Caldas, Colombia","","","","manual"
"2025-05-26 00:55:22","5.256","-75.814","41.76","2.0","MLr_2","17","1.0","99","2.733","4.140","6.79","Anserma - Caldas, Colombia","","","","manual"
"2025-07-03 09:15:40","5.246","-75.807","18.43","0.6","MLr_2","9","0.2","208","2.546","2.546","4.10","Anserma - Caldas, Colombia","","","","manual"
"2025-12-21 10:33:09","5.277","-75.752","58.2","1.0","MLr_2","10","0.4","122","1.626","1.626","4.60","Anserma - Caldas, Colombia","","","","manual"
