"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2018-09-06 22:52:15","5.318","-75.795","4.86","1.4","MLr_2","15","0.5","147","1.202","1.202","8.90","Guática - Risaralda, Colombia","","","","manual"
"2020-03-25 11:11:05","5.331","-75.806","4.02","1.4","MLr_2","18","1.2","110","1.061","1.061","3.10","Guática - Risaralda, Colombia","","","","manual"
"2020-03-28 02:42:11","5.327","-75.791","6.57","0.9","MLr_2","10","0.5","108","1.556","1.556","5.50","Guática - Risaralda, Colombia","","","","manual"
"2020-03-29 15:53:27","5.351","-75.795","3.58","1.2","MLr_2","22","0.7","109","0.849","0.849","2.20","Guática - Risaralda, Colombia","","","","manual"
"2020-03-29 22:55:35","5.326","-75.79","4.2","1.1","MLr_2","22","0.4","108","0.778","0.778","4.10","Guática - Risaralda, Colombia","","","","manual"
"2020-03-30 17:27:08","5.324","-75.778","4.22","1.4","MLr_2","27","0.5","71","0.778","0.778","2.80","Guática - Risaralda, Colombia","","","","manual"
"2020-03-31 01:11:45","5.335","-75.793","2.02","0.6","MLr_2","10","0.4","109","0.990","0.990","2.70","Guática - Risaralda, Colombia","","","","manual"
"2020-03-31 02:40:03","5.297","-75.843","3.63","0.9","MLr_2","6","0.3","115","1.909","1.909","5.10","Guática - Risaralda, Colombia","","","","manual"
"2020-07-31 06:00:57","5.332","-75.79","3.36","1.1","MLr_2","13","0.5","185","1.556","1.556","2.80","Guática - Risaralda, Colombia","","","","manual"
"2020-11-20 14:35:42","5.303","-75.777","14.1","1.4","MLr_2","11","0.6","134","2.781","3.690","7.90","Guática - Risaralda, Colombia","","","","manual"
"2020-11-21 02:00:48","5.298","-75.765","15.98","0.9","MLr_2","7","0.8","141","3.563","3.341","8.75","Guática - Risaralda, Colombia","","","","manual"
"2020-11-21 04:12:47","5.309","-75.775","15.98","1.1","MLr_2","8","0.8","131","2.939","3.006","8.40","Guática - Risaralda, Colombia","","","","manual"
"2020-12-10 07:02:13","5.276","-75.763","13.52","1.1","MLr_2","10","0.8","68","2.299","2.270","7.77","Guática - Risaralda, Colombia","","","","manual"
"2022-03-14 23:18:40","5.362","-75.763","87.93","1.3","MLr_2","9","0.6","105","3.498","5.014","8.20","Guática - Risaralda, Colombia","","","","manual"
"2023-09-03 08:01:56","5.309","-75.848","77.15","0.9","MLr_2","8","0.5","178","4.003","6.802","6.33","Guática - Risaralda, Colombia","","","","manual"
"2023-09-18 06:48:13","5.307","-75.837","22.07","0.8","MLr_2","11","0.6","115","2.474","3.733","4.21","Guática - Risaralda, Colombia","","","","manual"
"2023-10-25 06:16:28","5.277","-75.777","87.46","1.3","MLr_2","16","0.6","135","3.290","5.138","5.09","Guática - Risaralda, Colombia","","","","manual"
"2024-11-25 17:28:57","5.373","-75.761","7.47","0.7","MLr_2","8","0.2","201","1.626","1.626","3.00","Guática - Risaralda, Colombia","","","","manual"
"2025-01-25 03:19:10","5.298","-75.83","98","1.4","MLr_2","11","0.2","188","4.808","4.808","2.20","Guática - Risaralda, Colombia","","","","manual"
"2025-01-31 03:23:42","5.29","-75.833","42.46","0.6","MLr_2","6","0.7","114","4.077","3.978","4.55","Guática - Risaralda, Colombia","","","","manual"
"2025-03-17 13:03:00","5.298","-75.848","35.9","1.0","MLr_2","4","0.2","272","7.165","5.265","5.89","Guática - Risaralda, Colombia","","","","manual"
"2025-07-22 12:24:04","5.336","-75.78","103.51","1.2","MLr_2","10","0.5","229","7.920","7.920","4.30","Guática - Risaralda, Colombia","","","","manual"
"2025-09-07 15:08:13","5.331","-75.786","9.36","1.4","MLr_2","8","0.4","130","2.330","2.843","5.72","Guática - Risaralda, Colombia","","","","manual"
"2025-09-09 16:46:45","5.352","-75.8","1.66","1.1","MLr_2","11","0.5","187","1.768","1.768","1.60","Guática - Risaralda, Colombia","","","","manual"
