"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2019-11-28 07:57:30","5.414","-75.808","3","0.7","MLr_2","7","0.1","161","0.636","0.636","1.50","Riosucio - Caldas, Colombia","","","","manual"
"2020-03-15 07:20:39","5.373","-75.628","4.71","0.7","MLr_2","12","0.7","87","1.273","1.273","5.30","Riosucio - Caldas, Colombia","","","","manual"
"2020-04-14 08:21:49","5.442","-75.767","4.15","1.6","MLr_2","21","0.8","68","1.768","1.768","5.30","Riosucio - Caldas, Colombia","","","","manual"
"2020-06-25 10:05:59","5.369","-75.67","16.05","1.3","MLr_2","9","0.2","171","2.404","2.404","6.80","Riosucio - Caldas, Colombia","","","","manual"
"2020-10-06 00:54:35","5.423","-75.815","0.32","0.8","MLr_2","11","0.7","141","2.263","2.263","4.40","Riosucio - Caldas, Colombia","","","","manual"
"2021-01-11 06:49:23","5.502","-75.691","-2.07","1.1","MLr_2","5","0.5","160","2.745","4.287","10.01","Riosucio - Caldas, Colombia","","","","manual"
"2021-01-28 02:28:52","5.442","-75.743","2","0.4","MLr_2","7","0.6","188","3.536","3.536","3.90","Riosucio - Caldas, Colombia","","","","manual"
"2021-02-09 23:49:55","5.421","-75.693","1.68","1.2","MLr_2","8","0.7","96","1.999","2.638","6.76","Riosucio - Caldas, Colombia","","","","manual"
"2021-08-21 05:36:37","5.472","-75.859","8.95","1.0","MLr_2","6","0.7","122","3.125","3.556","9.58","Riosucio - Caldas, Colombia","","","","manual"
"2021-10-05 02:09:45","5.549","-75.761","36.6","1.5","MLr_2","8","0.1","149","0.707","0.707","2.50","Riosucio - Caldas, Colombia","","","","manual"
"2021-10-16 06:08:53","5.551","-75.73","77.73","1.1","MLr_2","6","0.5","173","4.799","6.043","8.92","Riosucio - Caldas, Colombia","","","","manual"
"2021-12-28 00:29:42","5.478","-75.743","4","0.8","MLr_2","7","0.7","205","4.243","4.243","0.00","Riosucio - Caldas, Colombia","","","","manual"
"2022-07-17 01:47:21","5.402","-75.68","16.21","0.3","MLr_2","4","0.3","160","6.560","5.810","5.44","Riosucio - Caldas, Colombia","","","","manual"
"2022-08-02 09:26:02","5.427","-75.696","4","0.8","MLr_2","8","0.9","182","6.152","6.152","0.00","Riosucio - Caldas, Colombia","","","","manual"
"2022-11-17 03:38:42","5.365","-75.629","10.61","0.3","MLr_2","8","0.1","161","0.495","0.495","0.50","Riosucio - Caldas, Colombia","","","","manual"
"2022-12-21 09:14:37","5.418","-75.738","54.43","1.2","MLr_2","6","0.2","218","5.162","5.162","4.00","Riosucio - Caldas, Colombia","","","","manual"
"2023-04-21 09:42:07","5.387","-75.665","18.03","0.9","MLr_2","9","0.5","82","1.951","2.330","3.39","Riosucio - Caldas, Colombia","","","","manual"
"2023-10-28 23:05:23","5.451","-75.84","25.82","0.9","MLr_2","5","0.6","203","4.982","7.278","4.89","Riosucio - Caldas, Colombia","","","","manual"
"2023-12-20 19:37:36","5.439","-75.712","93","1.3","MLr_2","14","0.7","157","6.010","6.010","5.30","Riosucio - Caldas, Colombia","","","","manual"
"2024-07-17 02:22:29","5.399","-75.668","16.6","0.8","MLr_2","11","0.2","132","1.131","1.131","1.20","Riosucio - Caldas, Colombia","","","","manual"
"2024-07-19 20:47:52","5.368","-75.63","12.99","0.7","MLr_2","5","0.3","96","2.380","3.013","5.40","Riosucio - Caldas, Colombia","","","","manual"
"2024-07-26 05:13:58","5.534","-75.765","8.36","0.7","MLr_2","5","0.6","190","2.224","6.594","5.65","Riosucio - Caldas, Colombia","","","","manual"
"2024-08-06 11:34:02","5.357","-75.678","11.5","1.0","MLr_2","13","0.2","99","0.707","0.707","1.50","Riosucio - Caldas, Colombia","","","","manual"
"2024-09-23 22:04:12","5.458","-75.824","48.2","0.9","MLr_2","6","0.4","224","5.243","4.076","3.87","Riosucio - Caldas, Colombia","","","","manual"
"2025-06-04 04:15:42","5.425","-75.831","47","1.6","MLr_2","22","0.6","127","2.192","2.192","4.20","Riosucio - Caldas, Colombia","","","","manual"
"2025-06-04 13:10:30","5.445","-75.73","83.36","1.3","MLr_2","7","0.5","155","7.797","9.984","8.20","Riosucio - Caldas, Colombia","","","","manual"
"2025-08-22 09:59:17","5.432","-75.684","10.59","0.9","MLr_2","5","0.5","118","4.744","4.389","5.63","Riosucio - Caldas, Colombia","","","","manual"
"2025-12-01 03:36:04","5.432","-75.755","94.26","1.9","MLr_2","21","1.1","88","3.453","4.739","5.79","Riosucio - Caldas, Colombia","","","","manual"
