"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2019-11-10 09:50:57","5.391","-75.636","107.61","3.9","MLr_2","90","0.7","71","0.778","0.778","1.60","Supia - Caldas, Colombia","","","","manual"
"2020-01-26 08:43:39","5.451","-75.611","10.64","1.2","MLr_2","10","0.3","249","2.546","2.546","3.00","Supia - Caldas, Colombia","","","","manual"
"2020-03-06 17:17:48","5.521","-75.68","3.75","1.3","MLr_2","15","0.5","91","0.919","0.919","2.30","Supia - Caldas, Colombia","","","","manual"
"2020-03-28 07:25:45","5.455","-75.638","25.86","0.5","MLr_2","8","0.3","173","4.738","4.738","4.20","Supia - Caldas, Colombia","","","","manual"
"2020-08-11 08:44:46","5.414","-75.621","3.68","0.6","MLr_2","8","0.9","167","3.111","3.111","3.60","Supia - Caldas, Colombia","","","","manual"
"2020-10-12 04:21:07","5.391","-75.646","2","1.1","MLr_2","7","0.4","170","5.162","5.162","4.50","Supia - Caldas, Colombia","","","","manual"
"2020-12-17 05:29:55","5.508","-75.677","3.51","1.1","MLr_2","11","0.4","156","0.636","0.636","1.10","Supia - Caldas, Colombia","","","","manual"
"2021-04-19 20:15:53","5.415","-75.599","31.56","1.0","MLr_2","9","0.5","172","4.667","4.667","3.40","Supia - Caldas, Colombia","","","","manual"
"2022-05-30 10:27:07","5.423","-75.616","12.7","0.4","MLr_2","4","0.6","135","3.300","9.937","10.37","Supia - Caldas, Colombia","","","","manual"
"2022-08-31 21:46:15","5.487","-75.646","9.14","0.4","MLr_2","8","0.2","220","1.909","1.909","3.70","Supia - Caldas, Colombia","","","","manual"
"2022-10-01 09:55:33","5.51","-75.646","85.35","1.7","MLr_2","12","0.5","85","3.311","4.479","6.79","Supia - Caldas, Colombia","","","","manual"
"2022-10-28 04:53:02","5.497","-75.648","79.96","1.2","MLr_2","8","0.2","143","3.943","5.629","9.09","Supia - Caldas, Colombia","","","","manual"
"2022-12-18 18:57:08","5.52","-75.643","91.09","1.2","MLr_2","11","0.8","87","3.792","4.791","6.53","Supia - Caldas, Colombia","","","","manual"
"2023-04-09 17:46:37","5.444","-75.625","12.99","0.4","MLr_2","5","0.3","123","3.047","2.491","4.07","Supia - Caldas, Colombia","","","","manual"
"2025-06-30 16:28:41","5.445","-75.664","11.09","0.7","MLr_2","8","0.5","166","7.778","7.778","7.80","Supia - Caldas, Colombia","","","","manual"
"2025-07-19 15:10:17","5.523","-75.698","22.21","0.7","MLr_2","8","0.5","130","4.031","4.031","5.50","Supia - Caldas, Colombia","","","","manual"
