"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2018-03-18 12:43:44","5.276","-74.616","37.09","1.0","MLr_2","10","0.4","138","1.556","1.556","6.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-04-02 22:46:31","5.083","-74.714","21.14","1.1","MLr_2","8","0.5","194","3.606","3.606","4.40","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-04-04 14:44:42","5.082","-74.56","25.82","1.2","MLr_2","6","1.2","94","4.675","5.238","11.31","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-04-26 04:02:29","5.032","-74.585","0.01","1.6","MLr_2","14","0.7","68","1.485","1.485","3.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-05-07 03:06:45","5.214","-74.701","3.98","1.8","MLr_2","27","0.9","75","1.344","1.344","3.10","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-05-27 03:17:01","5.036","-74.561","15.64","1.7","MLr_2","21","0.5","58","0.849","0.849","1.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-05-31 14:57:13","5.323","-74.638","29.93","1.2","MLr_2","8","0.4","180","2.051","2.051","2.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-06-13 01:12:22","5.185","-74.699","13.29","1.0","MLr_2","8","0.4","177","2.970","2.970","4.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-06-19 03:39:15","5.255","-74.608","18.45","1.4","MLr_2","19","0.4","91","0.778","0.778","1.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-06-28 01:19:02","5.064","-74.685","30.53","1.3","MLr_2","14","0.4","75","1.061","1.061","1.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-07-03 13:38:46","5.117","-74.702","36.28","1.2","MLr_2","8","0.3","146","2.192","2.192","10.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2018-07-07 10:18:00","5.32","-74.692","8.78","2.3","MLr_2","32","0.7","62","0.919","0.919","2.00","Guaduas - Cundinamarca, Colombia","","","","manual"
