"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2018-04-24 22:15:59","5.077","-74.73","8.98","1.4","MLr_2","11","0.3","176","1.697","1.697","2.90","Honda - Tolima, Colombia","","","","manual"
"2018-06-30 03:40:33","5.269","-74.729","3.46","2.3","MLr_2","39","0.9","68","0.990","0.990","2.50","Honda - Tolima, Colombia","","","","manual"
"2018-07-14 02:04:35","5.186","-74.789","17.14","2.1","MLr_2","21","0.5","89","0.990","0.990","2.20","Honda - Tolima, Colombia","","","","manual"
"2018-08-03 19:45:29","5.152","-74.854","23.18","1.1","MLr_2","11","0.9","138","7.425","7.425","8.00","Honda - Tolima, Colombia","","","","manual"
"2018-08-04 01:00:49","5.25","-74.794","7.65","1.2","MLr_2","10","0.4","116","1.838","1.838","3.90","Honda - Tolima, Colombia","","","","manual"
"2018-08-23 17:53:29","5.132","-74.844","41.91","1.3","MLr_2","8","0.2","158","1.838","1.838","5.60","Honda - Tolima, Colombia","","","","manual"
"2018-09-23 00:23:02","5.117","-74.802","13.57","1.0","MLr_2","13","0.6","170","2.333","2.333","3.40","Honda - Tolima, Colombia","","","","manual"
"2018-10-16 19:50:42","5.261","-74.782","43.16","1.2","MLr_2","8","0.3","200","2.828","2.828","7.80","Honda - Tolima, Colombia","","","","manual"
"2018-10-19 22:11:06","5.057","-74.759","16.06","1.3","MLr_2","16","0.5","157","1.838","1.838","2.80","Honda - Tolima, Colombia","","","","manual"
"2018-10-21 02:29:23","5.089","-74.734","64.7","1.0","MLr_2","10","0.2","193","0.990","0.990","3.00","Honda - Tolima, Colombia","","","","manual"
"2018-12-04 18:19:12","5.159","-74.764","16.44","1.6","MLr_2","26","0.6","63","0.919","0.919","1.60","Honda - Tolima, Colombia","","","","manual"
"2018-12-16 06:58:36","5.223","-74.732","23.12","1.3","MLr_2","22","0.5","109","0.990","0.990","1.40","Honda - Tolima, Colombia","","","","manual"
"2019-01-26 04:06:08","5.264","-74.807","38.21","1.0","MLr_2","14","0.2","106","1.556","1.556","3.80","Honda - Tolima, Colombia","","","","manual"
"2019-03-06 07:56:41","5.155","-74.748","16.03","1.2","MLr_2","20","0.7","64","1.344","1.344","2.40","Honda - Tolima, Colombia","","","","manual"
"2019-04-10 07:24:13","5.17","-74.813","2.94","2.0","MLr_2","36","1.1","44","1.414","1.414","3.30","Honda - Tolima, Colombia","","","","manual"
"2019-04-18 03:58:10","5.135","-74.798","19.39","1.5","MLr_2","22","0.6","72","1.061","1.061","1.60","Honda - Tolima, Colombia","","","","manual"
